Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
O₂ %,Oxygen % label,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %
Parsing…,Import progress label,Parsing…,Parsing…,解析中…,解析中…,解析中…,파싱 중…,Wird analysiert…,Analyse en cours…,Analizando…,Analisi in corso…,Analyseren…,A analisar…,Ανάλυση…,Parsiranje…,Mengurai…,Sedang menghurai…,กำลังประมวลผล…,Đang phân tích dữ liệu…
Premium,"Settings section header｜出現於：AdBannerView.swift, ImportWizardView.swift, MainTabView.swift, MapView.swift, 等共 6 個檔案",Premium,Premium,進階版,专业版,プレミアム,프리미엄,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,พรีเมียม,Premium
Premium Unlocked,Row label when premium is active｜出現於：SettingsView.swift,Premium Unlocked,Premium Unlocked,進階版已解鎖,专业版已解锁,プレミアムロック解除済み,프리미엄 잠금 해제됨,Premium freigeschaltet,Premium déverrouillé,Premium desbloqueado,Premium sbloccato,Premium ontgrendeld,Premium desbloqueado,Το Premium ξεκλειδώθηκε,Premium otključan,Premium Unlocked,Premium Dibuka Kunci,ปลดล็อกพรีเมียมแล้ว,Đã mở khóa Premium
Premium restored successfully.,Alert message｜出現於：SettingsView.swift,Premium restored successfully.,Premium restored successfully.,進階版已成功回復。,专业版已成功恢复。,プレミアムが正常に復元されました。,프리미엄이 성공적으로 복원되었습니다.,Premium erfolgreich wiederhergestellt.,Premium restauré avec succès.,Premium restaurado con éxito.,Premium ripristinato con successo.,Premium succesvol hersteld.,Premium restaurado com sucesso.,Το Premium αποκαταστάθηκε επιτυχώς.,Premium uspješno obnovljen.,Premium berhasil dipulihkan.,Premium berjaya dipulihkan.,คืนค่าพรีเมียมสำเร็จแล้ว,Đã khôi phục thành công Premium.
Premium unlocked — Ads removed.,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Premium unlocked — Ads removed.,Premium unlocked — Ads removed.,已解鎖進階版 — 已移除廣告。,已解锁高级版 — 已移除广告。,プレミアム解除済み — 広告なし,프리미엄 해제됨 — 광고 제거됨,Premium freigeschaltet — Werbung entfernt.,Premium débloqué — Publicités supprimées.,Premium desbloqueado — Anuncios eliminados.,Premium sbloccato — Annunci rimossi.,Premium ontgrendeld — Advertenties verwijderd.,Premium desbloqueado — Anúncios removidos.,Το Premium ξεκλειδώθηκε — Οι διαφημίσεις αφαιρέθηκαν.,Premium otključan — Oglasi uklonjeni.,Premium Terbuka — Iklan Dihapus.,Premium Dibuka — Iklan Dibuang.,ปลดล็อกพรีเมียมแล้ว — ไม่มีโฆษณา,Đã mở khóa Premium — Đã gỡ bỏ quảng cáo.
Previous month,A button that shows the previous month.｜出現於：DiveCalendarView.swift,Previous month,Previous month,上個月,上个月,先月,지난달,Letzter Monat,Mois précédent,Mes anterior,Mese precedente,Vorige maand,Mês anterior,Προηγούμενος μήνας,Prethodni mjesec,Bulan sebelumnya,Bulan lepas,เดือนก่อนหน้า,Tháng trước
Previous year,A button that displays a previous year.｜出現於：DiveCalendarView.swift,Previous year,Previous year,前一年,上一年,前年,이전 해,Vorheriges Jahr,Année précédente,Año anterior,Anno precedente,Vorig jaar,Ano anterior,Προηγούμενο έτος,Prethodna godina,Tahun lalu,Tahun lepas,ปีก่อนหน้า,Năm trước
Rainy,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Rainy,Rainy,下雨,下雨,雨,비,Regnerisch,Pluvieux,Lluvioso,Piovoso,Regenachtig,Chuvoso,Βροχερός,Kišovito,Hujan,Hujan,มีฝน,Mưa
Raw Import Data,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Raw Import Data,Raw Import Data,原始匯入資料,原始导入数据,インポート元データ,가져오기 원본 데이터,Rohdaten des Imports,Données Brutes d'Importation,Datos Originales de Importación,Dati Grezzi Importati,Ruwe Importgegevens,Dados Brutos de Importação,Ακατέργαστα Δεδομένα Εισαγωγής,Neobrađeni Uvezeni Podaci,Data Impor Mentah,Data Import Mentah,ข้อมูลนำเข้าดิบ,Dữ Liệu Nhập Gốc
Recenter on My Location,出現於：MapView.swift（無額外註解，請對照原始碼判斷情境）,Recenter on My Location,Recenter on My Location,回到我的位置,回到我的位置,現在地に戻す,내 위치로 이동,Auf meinen Standort zentrieren,Recentrer sur ma position,Volver a centrar en mi ubicación,Ricentra sulla mia posizione,Opnieuw centreren op mijn locatie,Recentrar na minha localização,Επαναφορά στην τοποθεσία μου,Ponovno centriraj na moju lokaciju,Pusatkan ke Lokasi Saya,Pusatkan Semula ke Lokasi Saya,กลับไปยังตำแหน่งของฉัน,Về vị trí của tôi
Remove Ads,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Remove Ads,Remove Ads,移除廣告,移除广告,広告を削除,광고 제거,Werbung entfernen,Supprimer les publicités,Eliminar anuncios,Rimuovi annunci,Advertenties verwijderen,Remover anúncios,Αφαίρεση διαφημίσεων,Ukloni oglase,Hapus Iklan,Buang Iklan,ลบโฆษณา,Gỡ bỏ quảng cáo
Remove All Ads,Feature row title｜出現於：SettingsView.swift,Remove All Ads,Remove All Ads,移除所有廣告,移除所有广告,すべての広告を削除,모든 광고 제거,Alle Werbung entfernen,Supprimer toutes les publicités,Quitar todos los anuncios,Rimuovi tutti gli annunci,Verwijder alle advertenties,Remover todos os anúncios,Αφαίρεση όλων των διαφημίσεων,Ukloni sve oglase,Hapus Semua Iklan,Buang Semua Iklan,นำโฆษณาออกทั้งหมด,Gỡ bỏ tất cả quảng cáo
Restore,"Alert title｜出現於：AdBannerView.swift, SettingsView.swift",Restore,Restore,回復,恢复,復元,복원,Wiederherstellen,Restaurer,Restaurar,Ripristina,Herstel,Restaurar,Αποκατάσταση,Obnovi,Pulihkan,Pulihkan,คืนค่า,Khôi phục
Restore Purchase,"Button label｜出現於：AdBannerView.swift, SettingsView.swift",Restore Purchase,Restore Purchase,回復購買,恢复购买,購入履歴を復元,구매 내역 복원,Kauf wiederherstellen,Restaurer l'achat,Restaurar compra,Ripristina acquisto,Aankoop herstellen,Restaurar compra,Ανάκτηση αγοράς,Obnovi kupnju,Pulihkan Pembelian,Pulihkan Pembelian,คืนค่าการซื้อ,Khôi phục giao dịch mua
Result,"出現於：DiveAnalysisView.swift, DiveLogDatabase.swift, DiveReplayEngine.swift, DiveReplayEngineTests.swift, 等共 8 個檔案（無額外註解，請對照原始碼判斷情境）",Result,Result,結果,结果,結果,결과,Ergebnis,Résultat,Resultado,Risultato,Resultaat,Resultado,Αποτέλεσμα,Rezultat,Hasil,Hasil,ผลลัพธ์,Kết quả
Rough,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Rough,Rough,大浪,大浪,荒れ,파도 높음,Rau,Agité,Agitado,Agitato,Ruw,Agitado,Ταραγμένη,Valovito,Berombak,Berombak,คลื่นแรง,Biển động
S63 (8.6L),出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,,,,,,,,,,,,,,,,,,
S80 (12L),出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,,,,,,,,,,,,,,,,,,
Safety Stop,"出現於：DiveAnalysisView.swift, Extensions.swift（無額外註解，請對照原始碼判斷情境）",Safety Stop,Safety Stop,安全停留,安全停留,セーフティストップ,안전 스톱,Sicherheitshalt,Arrêt de sécurité,Parada de seguridad,Sosta di sicurezza,Veiligheid stop,Paragem de segurança,Ασφαλή στάση,Sigurnosni stoj,Perhentian keselamatan,Perhentian keselamatan,หยุดความปลอดภัย,Dừng an toàn
Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,安全停留改為強制性：上升速度連續10秒超過10公尺/分(32.8英呎/分)。,安全停留改为强制性：上升速度连续10秒超过10公尺/分(32.8英尺/分)。,セーフティストップが強制になりました：浮上速度が10秒間10 m/分（32.8 ft/分）を超えたままでした。,안전 정지가 필수로 전환되었습니다: 상승 속도가 10초 동안 10 m/분(32.8 ft/분)을 초과한 상태로 유지되었습니다.,"Der Sicherheitsstopp ist jetzt obligatorisch: Die Aufstiegsgeschwindigkeit blieb 10 Sekunden lang über 10 m/min (32,8 ft/min).","Le palier de sécurité est devenu obligatoire : la vitesse de remontée est restée supérieure à 10 m/min (32,8 pi/min) pendant 10 secondes.","La parada de seguridad pasó a ser obligatoria: la velocidad de ascenso se mantuvo por encima de 10 m/min (32,8 pies/min) durante 10 segundos.","La sosta di sicurezza è diventata obbligatoria: la velocità di risalita è rimasta sopra i 10 m/min (32,8 ft/min) per 10 secondi.","De veiligheidsstop werd verplicht: de stijgsnelheid bleef 10 seconden lang boven 10 m/min (32,8 ft/min).","A paragem de segurança tornou-se obrigatória: a velocidade de subida manteve-se acima de 10 m/min (32,8 pés/min) durante 10 segundos.","Η στάση ασφαλείας έγινε υποχρεωτική: η ταχύτητα ανόδου παρέμεινε πάνω από 10 μ/λεπτό (32,8 πόδια/λεπτό) για 10 δευτερόλεπτα.","Sigurnosno zaustavljanje postalo je obavezno: brzina uspona ostala je iznad 10 m/min (32,8 ft/min) 10 sekundi.",Safety stop menjadi wajib: kecepatan naik tetap di atas 10 m/menit (32.8 ft/menit) selama 10 detik.,Safety stop menjadi wajib: kadar menaik kekal melebihi 10 m/min (32.8 ka/min) selama 10 saat.,การหยุดพักเพื่อความปลอดภัยกลายเป็นภาคบังคับ: อัตราการขึ้นสู่ผิวน้ำสูงกว่า 10 ม./นาที (32.8 ฟุต/นาที) นานติดต่อกัน 10 วินาที,"Dừng an toàn trở thành bắt buộc: tốc độ nổi duy trì trên 10 m/phút (32,8 ft/phút) trong 10 giây."
Save,"Save button｜出現於：DiveLogDatabase.swift, DiveLogEditSheet.swift",Save,Save,儲存,存储,保存,저장,Sichern,Enregistrer,Guardar,Salva,Bewaar,Guardar,Αποθήκευση,Spremi,Simpan,Simpan,บันทึก,Lưu
Scanning files,A label that describes the scanning of files.｜出現於：ImportWizardView.swift,Scanning files,Scanning files,正在掃描檔案,正在扫描文件,ファイルをスキャン中,파일 스캔 중,Dateien werden gescannt,Analyse des fichiers,Escaneando archivos,Scansione file in corso,Bestanden scannen,A digitalizar ficheiros,Σάρωση αρχείων,Skeniranje datoteka,Memindai file,Mengimbas fail,กำลังสแกนไฟล์,Đang quét tệp
Scanning files…,A placeholder text that appears when scanning files.,Scanning files…,Scanning files…,正在掃描檔案…,正在扫描文件…,ファイルをスキャン中…,파일 스캔 중…,Dateien werden gescannt…,Analyse des fichiers…,Escaneando archivos…,Scansione file in corso…,Bestanden scannen…,A digitalizar ficheiros…,Σάρωση αρχείων…,Skeniranje datoteka…,Memindai file…,Mengimbas fail…,กำลังสแกนไฟล์…,Đang quét tệp…
Seabear CSV,"出現於：DiveLogDetailView.swift, DiveLogImporter.swift, DiveSiteSheetView.swift, ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）",Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV
Search location…,Search bar placeholder in logbook list｜出現於：DiveLogListView.swift,Search location…,Search location…,搜尋地點…,搜索地点…,場所を検索…,위치 검색…,Ort suchen…,Rechercher un lieu…,Buscar ubicación…,Cerca posizione…,Zoek locatie…,Pesquisar localização…,Αναζήτηση τοποθεσίας…,Pretraži lokaciju…,Cari lokasi…,Cari lokasi…,ค้นหาสถานที่…,Tìm kiếm địa điểm…
Seawater,"Dive environment type｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Seawater,Seawater,海水,海水,海水,해수,Meerwasser,Eau de mer,Agua de mar,Acqua di mare,Zeewater,Água salgada,Θαλασσινό νερό,Morska voda,Air Laut,Air Laut,น้ำทะเล,Nước biển
Select,"出現於：DiveCalendarView.swift, DiveImportKitAdapterTests.swift, DiveLogListView.swift, DiveMapRepresentable.swift, 等共 8 個檔案（無額外註解，請對照原始碼判斷情境）",Select,Select,選取,选取,選択,선택,Auswählen,Sélectionner,Seleccionar,Seleziona,Selecteer,Selecionar,Επιλογή,Odaberite,Pilih,Pilih,เลือก,Chọn
Select File,Import wizard button｜出現於：ImportWizardView.swift,Select File,Select File,選取檔案,选取文件,ファイルを選択,파일 선택,Datei auswählen,Sélectionner un fichier,Seleccionar archivo,Seleziona file,Selecteer bestand,Selecionar ficheiro,Επιλογή αρχείου,Odaberi datoteku,Pilih File,Pilih Fail,เลือกไฟล์,Chọn tệp
Select Files or Folder,A button that opens a file picker to select dive log files or a folder.｜出現於：ImportWizardView.swift,Select Files or Folder,Select Files or Folder,選取檔案或資料夾,选取文件或文件夹,ファイルまたはフォルダを選択,파일 또는 폴더 선택,Dateien oder Ordner auswählen,Sélectionner des fichiers ou dossier,Seleccionar archivos o carpeta,Seleziona file o cartella,Bestanden of map selecteren,Selecionar ficheiros ou pasta,Επιλέξτε αρχεία ή φάκελο,Odaberite datoteke ili mapu,Pilih File atau Folder,Pilih Fail atau Folder,เลือกไฟล์หรือโฟลเดอร์,Chọn tệp hoặc thư mục
Select a date to see dives.,Calendar initial state hint｜出現於：DiveCalendarView.swift,Select a date to see dives.,Select a date to see dives.,選取日期以查看潛水紀錄。,选取日期以查看潜水记录。,日付を選択してダイビングを表示します。,다이빙을 보려면 날짜를 선택하세요.,"Wählen Sie ein Datum, um Tauchgänge anzuzeigen.",Sélectionnez une date pour voir les plongées.,Selecciona una fecha para ver las inmersiones.,Seleziona una data per vedere le immersioni.,Selecteer een datum om duiken te bekijken.,Selecione uma data ver os mergulhos.,Επιλέξτε ημερομηνία για να δείτε καταδύσεις.,Odaberite datum za prikaz urona.,Pilih tanggal untuk melihat penyelaman.,Pilih tarikh untuk melihat selam.,เลือกวันที่เพื่อดูไดฟ์,Chọn một ngày để xem các chuyến lặn.
Select a date with dives from the calendar to view details.,A description for the dive log detail view when a dive is not selected.｜出現於：MainTabView.swift,Select a date with dives from the calendar to view details.,Select a date with dives from the calendar to view details.,從日曆中選取有潛水紀錄的日期以查看詳情。,从日历中选取有潜水记录的日期以查看详情。,カレンダーからダイビングのある日付を選択して詳細を表示します。,상세 정보를 보려면 달력에서 다이빙이 있는 날짜를 선택하세요.,"Wählen Sie ein Datum mit Tauchgängen aus dem Kalender aus, um Details anzuzeigen.",Sélectionnez une date avec des plongées dans le calendrier pour voir les détails.,Selecciona una fecha con inmersiones en el calendario para ver los detalles.,Seleziona una data con immersioni dal calendario per visualizzare i dettagli.,Selecteer een datum met duiken in de kalender om details te bekijken.,Selecione uma data com mergulhos no calendário para ver os detalhes.,Επιλέξτε μια ημερομηνία με καταδύσεις από το ημερολόγιο για να δείτε λεπτομέρειες.,Odaberite datum s uronima iz kalendara za prikaz detalja.,Pilih tanggal dengan penyelaman dari kalender untuk melihat detail.,Pilih tarikh dengan selam daripada kalendar untuk melihat butiran.,เลือกวันที่ที่มีไดฟ์จากปฏิทินเพื่อดูรายละเอียด,Chọn một ngày có các chuyến lặn từ lịch để xem chi tiết.
Select a dive from the list to view details.,A description of the content of the Dive Details view.｜出現於：MainTabView.swift,Select a dive from the list to view details.,Select a dive from the list to view details.,從列表中選取潛水日誌以查看詳情。,从列表中选取潜水日志以查看详情。,リストからダイビングを選択して詳細を表示します。,목록에서 다이빙을 선택하여 상세 정보를 확인하세요.,"Wählen Sie einen Tauchgang aus der Liste, um Details anzuzeigen.",Sélectionnez une plongée dans la liste pour voir les détails.,Seleccione una inmersión de la lista para ver los detalles.,Seleziona un'immersione dall'elenco per visualizzare i dettagli.,Selecteer een duik uit de lijst om details te bekijken.,Selecione um mergulho da lista para ver os detalhes.,Επιλέξτε μια κατάδυση από τη λίστα για να δείτε λεπτομέρειες.,Odaberite uron s popisa za prikaz detalja.,Pilih penyelaman dari daftar untuk melihat detail.,Pilih selam dari senarai untuk melihat butiran.,เลือกไดฟ์จากรายการเพื่อดูรายละเอียด,Chọn một chuyến lặn từ danh sách để xem chi tiết.
Select year and month,A label for a button that opens a picker for selecting the year and month.｜出現於：DiveCalendarView.swift,Select year and month,Select year and month,選取年份和月份,选取年份和月份,年と月を選択,연도 및 월 선택,Jahr und Monat auswählen,Sélectionner l'année et le mois,Seleccionar año y mes,Seleziona anno e mese,Selecteer jaar en maand,Selecionar ano e mês,Επιλέξτε έτος και μήνα,Odaberite godinu i mjesec,Pilih tahun dan bulan,Pilih tahun dan bulan,เลือกปีและเดือน,Chọn năm và tháng
Settings,"Tab bar label and settings title｜出現於：AppLanguageManager.swift, DiveAnalysisView.swift, DiveMapRepresentable.swift, MainTabView.swift, 等共 8 個檔案",Settings,Settings,設定,设置,設定,설정,Einstellungen,Réglages,Ajustes,Impostazioni,Instellingen,Definições,Ρυθμίσεις,Postavke,Pengaturan,Tetapan,การตั้งค่า,Cài đặt
Settings coming soon,Settings placeholder title,Settings coming soon,Settings coming soon,設定即將推出,设置即将推出,設定機能は近日公開予定,설정 곧 출시 예정,Einstellungen demnächst verfügbar,Réglages bientôt disponibles,Ajustes próximamente,Impostazioni in arrivo,Instellingen binnenkort beschikbaar,Definições em breve,Οι ρυθμίσεις έρχονται σύντομα,Postavke stižu uskoro,Pengaturan segera hadir,Tetapan akan datang,การตั้งค่าเร็ว ๆ นี้,Cài đặt sắp ra mắt
Share File,A label for sharing a file.,Share File,Share File,分享檔案,发送文件,ファイルを共有,파일 공유,Datei teilen,Partager le fichier,Compartir archivo,Condividi file,Deel bestand,Partilhar ficheiro,Κοινοποίηση αρχείου,Podijeli datoteku,Bagikan File,Kongsi Fail,แชร์ไฟล์,Chia sẻ tệp
Slack,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Slack,Slack,平潮,平潮,平潮,정조,Stillwasser,Étale,Marea muerta,Stanca di marea,Doodtij,Estofo,Στάση παλίρροιας,Mrtva mijena,Air tenang,Air tenang,น้ำนิ่ง,Nước đứng
Slight,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Slight,Slight,微浪,微浪,穏やか,잔잔함,Leichter Wellengang,Calme,Poco agitada,Poco mosso,Kalm,Pouco agitado,Ήρεμη,Mirno,Tenang,Tenang,คลื่นเล็กน้อย,Biển êm
Slow,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Slow,Slow,緩慢,缓慢,遅い,느림,Langsam,Lent,Lento,Lento,Langzaam,Lento,Αργό,Sporo,Lambat,Perlahan,ช้า,Chậm
Some files may contain multiple dives.,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Some files may contain multiple dives.,Some files may contain multiple dives.,部分檔案可能包含多筆潛水紀錄。,部分文件可能包含多条潜水记录。,一部のファイルには複数のダイビングが含まれている場合があります。,일부 파일에는 여러 다이빙 기록이 포함되어 있을 수 있습니다.,Einige Dateien enthalten möglicherweise mehrere Tauchgänge.,Certains fichiers peuvent contenir plusieurs plongées.,Algunos archivos pueden contener varias inmersiones.,Alcuni file potrebbero contenere più immersioni.,Soms bevatten bestanden meerdere duiken.,Alguns ficheiros podem conter vários mergulhos.,Ορισμένα αρχεία ενδέχεται να περιέχουν πολλαπλές καταδύσεις.,Neke datoteke mogu sadržavati više zarona.,Beberapa file mungkin berisi beberapa penyelaman.,Sesetengah fail mungkin mengandungi beberapa selaman.,บางไฟล์อาจมีข้อมูลการดำน้ำหลายรายการ,Một số tệp có thể chứa nhiều lượt lặn.
Source Format,"Dive detail field label｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",Source Format,Source Format,來源格式,来源格式,ソース形式,소스 형식,Quellformat,Format source,Formato de origen,Formato sorgente,Bronformaat,Formato de origem,Μορφή προέλευσης,Izvorni format,Format Sumber,Format Sumber,รูปแบบแหล่งที่มา,Định dạng nguồn
Start Pressure,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Start Pressure,Start Pressure,起始壓力,起始压力,開始圧力,시작 압력,Startdruck,Pression de démarrage,Presión de inicio,Pressione iniziale,Startdruk,Pressão inicial,Πίεση έναρξης,Početni tlak,Tekanan awal,Tekanan awal,ความดันเริ่มต้น,Áp lực bắt đầu
Start Pressure: %.0f bar,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Start Pressure: %.0f bar,Start Pressure: %.0f bar,起始壓力：%.0f bar,起始压力：%.0f bar,開始圧力：%.0f bar,시작 압력: %.0f bar,Startdruck: %.0f bar,Pression initiale : %.0f bar,Presión inicial: %.0f bar,Pressione iniziale: %.0f bar,Startdruk: %.0f bar,Pressão inicial: %.0f bar,Πίεση έναρξης: %.0f bar,Početni tlak: %.0f bar,Tekanan awal: %.0f bar,Tekanan awal: %.0f bar,ความดันเริ่มต้น: %.0f bar,Áp lực bắt đầu: %.0f bar
Steel,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Steel,Steel,鋼,钢,鋼,강철,Stahl,Acier,Acero,Acciaio,Staal,Aço,Χάλυβας,Čelik,Baja,Baja,เหล็ก,Thép
Strong,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Strong,Strong,強流,强流,強流,강한 조류,Starke Strömung,Fort,Fuerte,Forte,Sterk,Forte,Ισχυρό,Jako,Kuat,Kuat,กระแสน้ำแรง,Dòng chảy mạnh
Subsurface CSV,"出現於：DiveLogDetailView.swift, DiveLogImporter.swift, DiveSiteSheetView.swift, ImportCoordinatorTests.swift, 等共 5 個檔案（無額外註解，請對照原始碼判斷情境）",Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV
Subsurface XML,"出現於：DiveImportKitAdapter.swift, DiveLogDetailView.swift, DiveLogImporter.swift, DiveSiteSheetView.swift, 等共 5 個檔案（無額外註解，請對照原始碼判斷情境）",Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML
Sunny,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Sunny,Sunny,晴朗,晴朗,晴れ,맑음,Sonnig,Ensoleillé,Soleado,Soleggiato,Zonnig,Ensolarado,Ηλιόλουστα,Sunčano,Cerah,Cerah,แดด,Nắng đẹp
Supported Formats,Import wizard section header｜出現於：ImportWizardView.swift,Supported Formats,Supported Formats,支援格式,支持格式,対応形式,지원 형식,Unterstützte Formate,Formats pris en charge,Formatos compatibles,Formati supportati,Ondersteunde formaten,Formatos suportados,Υποστηριζόμενες μορφές,Podržani formati,Format yang Didukung,Format Disokong,รูปแบบที่รองรับ,Định dạng hỗ trợ
Surface,"Label for the surface depth in the dive profile chart.｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveReplayEngine.swift, Extensions.swift",Surface,Surface,水面,水面,水面,수면,Oberfläche,Surface,Superficie,Superficie,Oppervlakte,Superfície,Επιφάνεια,Površina,Permukaan,Permukaan,ผิวน้ำ,Bề mặt
Surface Condition,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Surface Condition,Surface Condition,水面狀況,水面状况,水面状態,수면 상태,Oberflächenzustand,État de la surface,Condición de la superficie,Condizione della superficie,Oppervlaktetoestand,Condição da superfície,Κατάσταση επιφάνειας,Stanje površine,Kondisi permukaan,Keadaan permukaan,สภาพผิวน้ำ,Điều kiện bề mặt
Suunto JSON,"出現於：DiveLogDetailView.swift, DiveLogImporter.swift, DiveSiteSheetView.swift, ImportCoordinator.swift, 等共 6 個檔案（無額外註解，請對照原始碼判斷情境）",Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON
Switch to Calendar View,"Accessibility label for calendar toggle button｜出現於：LogbookContainerView.swift, MainTabView.swift",Switch to Calendar View,Switch to Calendar View,切換至日曆檢視,切换至日历视图,カレンダービューに切り替え,달력 뷰로 전환,Zur Kalenderansicht wechseln,Passer à la vue calendrier,Cambiar a vista de calendario,Passa alla vista calendario,Schakel over naar kalenderweergave,Mudar para Vista de Calendário,Αλλαγή σε προβολή ημερολογίου,Prebaci na prikaz kalendara,Beralih ke Tampilan Kalender,Tukar ke Paparan Kalendar,เปลี่ยนเป็นมุมมองปฏิทิน,Chuyển sang giao diện lịch
Switch to Hybrid Map,Accessibility label for map type toggle button when current type is Standard｜出現於：MapView.swift,Switch to Hybrid Map,Switch to Hybrid Map,切換至衛星混合地圖,切换至卫星混合地图,ハイブリッドマップに切り替え,하이브리드 지도로 전환,Zur Satellitenkarte wechseln,Passer à la carte hybride,Cambiar a mapa híbrido,Passa alla mappa ibrida,Schakel over naar hybride kaart,Mudar para Mapa Híbrido,Αλλαγή σε υβριδικό χάρτη,Prebaci na hibridnu kartu,Beralih ke Peta Hibrid,Tukar ke Peta Hibrid,เปลี่ยนเป็นแผนที่ไฮบริด,Chuyển sang bản đồ hỗn hợp
Switch to List View,"Accessibility label for list toggle button｜出現於：LogbookContainerView.swift, MainTabView.swift",Switch to List View,Switch to List View,切換至清單檢視,切换至列表视图,リストビューに切り替え,목록 뷰로 전환,Zur Listenansicht wechseln,Passer à la vue liste,Cambiar a vista de lista,Passa alla vista elenco,Schakel over naar lijstweergave,Mudar para Vista de Lista,Αλλαγή σε προβολή λίστας,Prebaci na prikaz popisa,Beralih ke Tampilan Daftar,Tukar ke Paparan Senarai,เปลี่ยนเป็นมุมมองรายการ,Chuyển sang giao diện danh sách
Switch to Standard Map,Accessibility label for map type toggle button when current type is Hybrid｜出現於：MapView.swift,Switch to Standard Map,Switch to Standard Map,切換至標準地圖,切换至标准地图,標準マップに切り替え,표준 지도로 전환,Zur Standardkarte wechseln,Passer à la carte standard,Cambiar a mapa estándar,Passa alla mappa standard,Schakel over naar standaardkaart,Mudar para Mapa Padrão,Αλλαγή σε τυπικό χάρτη,Prebaci na standardnu kartu,Beralih ke Peta Standar,Tukar ke Peta Standard,เปลี่ยนเป็นแผนที่มาตรฐาน,Chuyển sang bản đồ tiêu chuẩn
System Settings,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,System Settings,System Settings,系統設定,系统设置,システム設定,시스템 설정,Systemeinstellungen,Réglages Système,Ajustes del sistema,Impostazioni di Sistema,Systeeminstellingen,Definições do Sistema,Ρυθμίσεις συστήματος,Postavke sustava,Pengaturan Sistem,Tetapan Sistem,การตั้งค่าระบบ,Cài đặt hệ thống
